id,conformed_submission_type,filer_central_index_key,filer_former_company_former_conformed_name,filer_company_conformed_name,accession_number,filed_as_of_date,conformed_period_of_report
000157/1571371/0001104659-17-053266.txt,CORRESP,0001571371,,"Summit Materials, LLC",0001104659-17-053266,2017-08-23 00:00:00+00:00,2017-12-27 00:00:00+00:00
000162/1621563/0001104659-17-053266.txt,CORRESP,0001621563,,"Summit Materials, Inc.",0001104659-17-053266,2017-08-23 00:00:00+00:00,2017-12-27 00:00:00+00:00
000102/1021270/0001104659-18-003038.txt,CORRESP,0001021270,,FAMOUS DAVES OF AMERICA INC,0001104659-18-003038,2018-01-19 00:00:00+00:00,2018-04-06 00:00:00+00:00
000132/1326801/0001193125-16-582198.txt,CORRESP,0001326801,,Facebook Inc,0001193125-16-582198,2016-05-06 00:00:00+00:00,2017-02-22 00:00:00+00:00
000115/1158041/0001193125-17-219259.txt,CORRESP,0001158041,IVANHOE MINES LTD,TURQUOISE HILL RESOURCES LTD.,0001193125-17-219259,2017-06-30 00:00:00+00:00,2017-08-14 00:00:00+00:00
000160/1603993/0001144204-16-097726.txt,CORRESP,0001603993,,"HEBRON TECHNOLOGY CO., LTD",0001144204-16-097726,2016-04-29 00:00:00+00:00,2016-08-03 00:00:00+00:00
000106/1065088/0001065088-17-000035.txt,CORRESP,0001065088,,EBAY INC,0001065088-17-000035,2017-08-24 00:00:00+00:00,2017-11-17 00:00:00+00:00
000126/1264089/0001104659-17-045074.txt,CORRESP,0001264089,YAMANA GOLD INC,YAMANA GOLD INC.,0001104659-17-045074,2017-07-14 00:00:00+00:00,2017-08-28 00:00:00+00:00
000166/1668673/0001193125-17-227810.txt,CORRESP,0001668673,,"PetIQ, Inc.",0001193125-17-227810,2017-07-13 00:00:00+00:00,2017-08-17 00:00:00+00:00
000115/1158041/0001193125-16-714901.txt,CORRESP,0001158041,IVANHOE MINES LTD,TURQUOISE HILL RESOURCES LTD.,0001193125-16-714901,2016-09-20 00:00:00+00:00,2016-10-31 00:00:00+00:00
000121/1212458/0001212458-17-000005.txt,CORRESP,0001212458,,PROOFPOINT INC,0001212458-17-000005,2017-05-24 00:00:00+00:00,2017-07-06 00:00:00+00:00
000085/856517/0001623632-17-001410.txt,CORRESP,0000856517,MONEY MARKET OBLIGATIONS TRUST /NEW/,MONEY MARKET OBLIGATIONS TRUST,0001623632-17-001410,2017-06-30 00:00:00+00:00,2019-01-28 00:00:00+00:00
000009/96943/0000096943-17-000137.txt,CORRESP,0000096943,,TELEFLEX INC,0000096943-17-000137,2017-11-21 00:00:00+00:00,2018-01-02 00:00:00+00:00
000139/1390844/0001390844-16-000030.txt,CORRESP,0001390844,,WABCO Holdings Inc.,0001390844-16-000030,2016-08-26 00:00:00+00:00,2016-11-10 00:00:00+00:00
000132/1326801/0001193125-16-649470.txt,CORRESP,0001326801,,Facebook Inc,0001193125-16-649470,2016-07-15 00:00:00+00:00,2017-02-22 00:00:00+00:00
000137/1370637/0001370637-16-000108.txt,CORRESP,0001370637,,ETSY INC,0001370637-16-000108,2016-08-19 00:00:00+00:00,2016-09-21 00:00:00+00:00
000157/1571371/0001104659-17-068949.txt,CORRESP,0001571371,,"Summit Materials, LLC",0001104659-17-068949,2017-11-15 00:00:00+00:00,2017-12-27 00:00:00+00:00
